タイトル,NDC分類,NDC分類名,ページ数,著者名,刊行年月日,購入年月日,去年の貸出数,縦(mm),横(mm),厚み(mm),重さ(g),蔵書数,巻数,出版社
医者と平安,210,日本史,306,高橋 由美,2012/3/26,2013/2/15,11,216,161,34,1156,1,,祥伝社
金沢の少女,913,日本文学・小説,282,斎藤 奈々,2020/7/21,2020/8/30,17,210,136,28,776,1,,講談社
夜の谷,913,日本文学・小説,216,吉田 典子,1969/7/26,1970/2/5,7,150,105,15,231,1,,オーム社
詳解建築学,520,建築学,337,藤井 由美,2015/12/3,2016/4/12,3,172,101,35,526,1,,講談社
輝く西洋哲学,130,西洋哲学,346,岩田 隆,2001/2/26,2002/1/18,9,253,180,42,1744,1,,新潮社
The lost shadow,983,スカンジナビア文学,255,Mark Phillips,2012/12/19,2013/8/25,13,182,130,24,498,1,,光文社
図書_1722,430,化学,390,加藤 奈々,2013/7/14,2014/1/28,14,177,110,41,714,1,,文藝春秋
短い教育学,370,教育学,280,三浦 京子,1980/9/25,1981/11/30,6,169,106,29,493,1,,有斐閣
苦い雨シリーズ 6巻,913,日本文学・小説,342,長谷川 光,2004/6/28,2004/8/16,3,224,155,33,1068,1,6,オーム社
花を探して,930,英米文学総記,309,Karen Young,2016/3/25,2016/5/1,12,185,115,23,528,1,,中央公論新社
科学のしくみ,560,金属工学,265,西村 颯,2020/4/25,2020/5/9,11,255,172,27,1323,1,,福音館書店
苦いスポーツ科学,780,スポーツ,283,林 典子,2011/4/28,2013/4/30,13,218,154,27,832,1,,翔泳社
丘と秘密 2巻,913,日本文学・小説,313,斎藤 香織,2011/5/8,2011/6/5,5,216,156,36,1104,2,2,PHP研究所
丘と奇跡 1巻,914,日本文学・随筆,330,遠藤 莉子,1999/12/17,2000/1/14,7,149,104,31,408,1,1,丸善
night of Athens,933,英米文学・小説,401,Richard Martin,1951/7/10,1951/7/30,12,149,109,31,468,1,,光文社
地球科学実習,450,地球科学,320,高橋 正樹,2011/5/5,2011/9/6,5,249,177,43,1778,1,,ミネルヴァ書房
火と社会学,360,社会学,327,清水 博,1972/9/15,1973/5/1,5,180,129,32,777,1,,岩波書店
画家と古代,210,日本史,267,林 颯,2003/10/23,2004/6/5,3,166,108,25,406,1,,小学館
図書_3458,440,天文学,426,山口 正樹,1981/5/12,1981/6/29,7,261,178,49,1999,1,,丸善
図書_4890,340,財政学,218,渡辺 和子,2007/11/18,2008/3/20,4,187,125,20,455,1,,ハヤカワ書房
老人と雨,914,日本文学・随筆,247,石川 典子,2016/1/17,2016/6/19,21,208,153,25,737,1,,集英社
あの睦月の夢,913,日本文学・小説,269,山田 理恵,1972/4/23,1973/7/7,3,176,124,21,432,1,,双葉社
姫と記憶,913,日本文学・小説,411,吉田 莉子,2017/3/16,2017/6/12,9,146,104,39,510,1,,文藝春秋
図書_2251,550,海洋工学,331,山田 誠,2023/8/25,2023/11/2,21,174,105,34,557,1,,角川書店
新しい英語学,830,英語,270,岡田 慎吾,1988/1/8,1988/12/24,4,216,158,30,1117,1,,勁草書房
road of Lisbon,953,フランス文学・小説,356,Laura Davis,2022/3/8,2023/6/10,8,148,103,27,390,1,,早川書房
美しいスポーツ科学,780,スポーツ,341,阿部 光,2008/6/27,2008/9/13,14,177,134,29,637,1,,福音館書店
現代政治学,310,政治学,324,島田 湊,2016/10/9,2017/1/13,11,220,135,36,1040,1,,吉川弘文館
将軍と明治,250,北アメリカ史,270,菊地 理恵,1976/1/16,1976/4/19,3,260,181,36,1549,1,,角川書店
探偵と平安,210,日本史,153,井上 陽,2021/7/21,2021/8/30,5,210,142,18,540,1,,中央公論新社
少年の窓,914,日本文学・随筆,276,今井 颯,2017/8/7,2017/9/23,7,177,130,22,643,1,,翔泳社
図書_3009,450,地球科学,443,佐藤 香織,2016/4/5,2016/4/9,7,265,174,55,2302,1,,丸善
函館の医者,913,日本文学・小説,300,村上 陽,2007/6/15,2008/1/10,7,221,152,33,1046,1,,日本評論社
博士の谷,914,日本文学・随筆,324,菊地 凛,2010/7/14,2011/7/1,15,154,104,25,381,1,,祥伝社
音楽家と霧,916,日本文学・記録・手記,341,工藤 裕子,2018/8/21,2019/4/4,11,225,155,33,1197,1,,講談社
泉の伝説 7巻,913,日本文学・小説,325,遠藤 正樹,1999/8/5,2000/1/20,3,152,105,22,365,1,7,丸善
図書_4695,160,宗教総記,194,山口 太郎,1956/5/17,1956/8/26,30,206,157,21,898,1,,光文社
魔法の森 1巻,913,日本文学・小説,227,長谷川 誠,2004/4/3,2004/8/17,7,155,108,23,356,2,1,角川書店
あの霜月の時間,913,日本文学・小説,209,平野 次郎,2017/5/15,2017/7/19,11,151,107,15,236,1,,岩波書店
工学入門,500,技術・工学総記,393,西田 三郎,2018/2/17,2018/4/2,9,258,187,43,1788,1,,有斐閣
皇帝と大正,280,伝記,433,中村 健一,1957/3/18,1958/4/2,8,171,104,40,684,1,,岩波書店
図書_3037,548,情報工学,378,村上 光,2011/8/22,2013/5/28,9,219,158,40,1192,1,,新潮社
記憶と西洋哲学,130,西洋哲学,293,池田 京子,1998/1/4,1998/11/17,7,177,105,30,487,1,,早川書房
図書_3602,730,版画,127,山本 奈々,2022/3/8,2022/9/20,5,168,101,15,250,1,,ハヤカワ書房
輝く泉シリーズ 4巻,933,英米文学・小説,299,Dorothy Carter,1997/6/27,1997/8/6,5,235,155,33,1120,1,4,講談社
島と音楽,760,音楽,251,島田 咲,2016/1/21,2016/6/9,5,184,125,19,392,1,,有斐閣
図書_3193,440,天文学,280,佐藤 拓哉,2012/2/3,2012/6/3,10,227,159,27,967,1,,翔泳社
火の伝説 1巻,913,日本文学・小説,387,杉山 拓哉,2006/1/17,2006/2/19,8,215,159,40,1245,1,1,早川書房
島と知識,770,演劇,396,伊藤 由美,1983/2/19,1983/9/2,3,191,130,36,828,1,,翔泳社
北海道を旅する,290,地理・地誌,304,大野 純,1987/12/2,1988/4/7,8,258,182,38,1615,1,,PHP研究所
深いスポーツ科学,780,スポーツ,358,菅原 陽,2019/10/27,2021/5/1,6,174,126,33,665,1,,吉川弘文館
図書_3844,450,地球科学,350,長谷川 花子,2005/4/13,2005/7/29,12,257,187,41,1777,1,,日本評論社
美しい日本語学,810,日本語,297,清水 拓哉,2014/8/5,2015/1/26,6,214,154,36,1136,1,,偕成社
優しい仏教学,180,仏教,287,原田 正樹,2011/6/19,2011/9/14,8,170,105,31,496,1,,中央公論新社
革命家と中世,200,歴史総記,267,島田 陽,1982/8/2,1982/11/18,6,223,152,29,916,1,,吉川弘文館
図書_3988,340,財政学,235,藤原 典子,2021/2/27,2021/4/29,11,232,169,27,1063,1,,吉川弘文館
Liam's song,983,スカンジナビア文学,286,Donald Turner,2014/10/9,2014/11/21,8,182,133,24,613,1,,岩波書店
青い政治学,310,政治学,245,井上 由美,1982/2/25,1982/3/28,20,170,100,24,376,1,,文藝春秋
強い道,913,日本文学・小説,337,菊地 陽,2015/2/28,2015/7/5,8,185,123,30,635,1,,ハヤカワ書房
丘のかけら,914,日本文学・随筆,289,藤原 拓哉,2005/10/9,2005/12/17,7,152,109,26,475,1,,勁草書房
森と教育学,370,教育学,267,村上 慎吾,2018/1/2,2018/1/21,7,180,124,22,438,1,,ポプラ社
樹王国 6巻,933,英米文学・小説,475,William Anderson,1996/3/19,1996/6/9,5,221,148,59,1843,1,6,岩波書店
道の伝説 3巻,913,日本文学・小説,299,島田 太郎,2013/5/29,2013/9/17,10,190,119,25,520,3,3,技術評論社
shadow of Rome,933,英米文学・小説,248,Nancy Wright,1964/1/16,1964/10/13,13,176,128,20,429,1,,日本評論社
図書_3669,490,医学,584,松本 和子,2015/8/26,2017/8/5,16,181,107,63,1035,1,,勁草書房
太陽と経済学,330,経済学,199,福田 恵子,2022/9/27,2023/1/23,9,229,147,20,665,1,,弘文堂
図書_4673,480,動物学,431,長谷川 颯,1975/11/10,1975/11/12,9,256,185,47,1973,1,,オーム社
よくわかる医学,490,医学,244,佐藤 陽,1962/4/4,1962/7/22,4,256,182,31,1386,1,,勁草書房
heart of London,953,フランス文学・小説,352,Christopher King,2022/10/22,2023/7/1,10,151,106,31,438,1,,丸善
嵐と希望,916,日本文学・記録・手記,496,佐藤 京子,2007/5/3,2007/5/5,7,150,105,35,532,1,,弘文堂
動物学の謎を解く,480,動物学,250,小川 和子,1951/5/8,1951/8/1,3,222,168,29,945,1,,技術評論社
キリスト教学を学ぶ,190,キリスト教,346,大野 博,2014/4/7,2014/12/28,8,218,169,45,1537,1,,ミネルヴァ書房
谷と友情 1巻,914,日本文学・随筆,409,木村 隆,2009/6/8,2009/9/21,6,238,158,49,1583,1,1,技術評論社
雨の伝説 2巻,913,日本文学・小説,392,村上 光,2004/9/14,2005/2/19,8,216,152,48,1452,1,2,ポプラ社
図書_1961,420,物理学,303,林 翔,2011/6/9,2012/5/11,10,222,153,35,1059,1,,偕成社
The broken city,933,英米文学・小説,378,Daniel Scott,2013/5/28,2013/6/25,10,175,129,34,726,1,,翔泳社
森と未来 2巻,914,日本文学・随筆,285,工藤 由美,2016/7/22,2016/11/13,10,229,167,34,1215,2,2,PHP研究所
老人の山,913,日本文学・小説,330,菅原 恵子,1976/2/26,1976/5/7,4,150,107,22,335,1,,翔泳社
図書_4321,548,情報工学,349,鈴木 理恵,2022/4/11,2022/5/29,3,223,147,37,1060,1,,中央公論新社
Ava's forest,973,ドイツ文学・小説,298,Daniel Scott,1984/2/20,1985/7/1,3,197,152,37,968,1,,ハヤカワ書房
図書_4577,280,伝記,286,池田 大輔,1988/8/19,1989/3/28,14,259,186,36,1560,1,,吉川弘文館
図書_3422,420,物理学,221,斎藤 凛,1952/6/22,1953/2/14,3,213,142,23,711,1,,PHP研究所
新版化学,430,化学,680,杉山 三郎,2013/10/2,2013/10/17,7,173,105,63,1003,1,,翔泳社
図書_1829,790,諸芸・娯楽,166,西田 浩二,1977/7/1,1977/9/26,7,187,132,16,427,1,,朝倉書店
図書_3421,420,物理学,329,福田 正樹,1992/5/11,1992/8/22,4,236,146,36,1114,1,,小学館
彼女の月,916,日本文学・記録・手記,381,小林 太郎,1983/3/8,1983/4/15,9,148,107,30,440,1,,祥伝社
図書_4411,490,医学,333,菊地 翔,2021/12/15,2022/8/28,12,173,102,29,461,1,,小学館
時間と日本語学,810,日本語,361,平野 奈々,2020/8/25,2021/1/12,4,178,131,34,782,1,,東京創元社
細い東洋思想,120,東洋思想,200,吉田 颯,2012/9/23,2013/3/14,12,254,187,27,1116,1,,東京創元社
図書_3576,850,フランス語,264,鈴木 史郎,2023/5/20,2023/11/19,22,171,101,25,461,1,,東京創元社
言葉と奇跡 3巻,913,日本文学・小説,453,福田 由美,2020/2/23,2020/6/28,11,152,107,29,425,1,3,翔泳社
火と怒り 2巻,913,日本文学・小説,352,吉田 純,2009/7/12,2009/9/15,5,213,151,44,1291,1,2,翔泳社
ぼくらの鍵 3巻,913,日本文学・小説,405,近藤 咲,2013/1/27,2013/5/22,9,186,123,37,742,2,3,中央公論新社
詩人の雪,916,日本文学・記録・手記,230,山本 莉子,2009/3/2,2009/4/16,13,227,165,27,910,1,,勁草書房
彼女の火,913,日本文学・小説,208,西村 颯,2020/2/14,2020/2/29,23,176,120,23,438,1,,福音館書店
少年と島,913,日本文学・小説,241,小林 花子,1998/8/14,1999/2/17,5,149,101,20,271,1,,東京創元社
city of Athens,973,ドイツ文学・小説,207,Joseph Allen,2016/6/19,2016/8/19,11,156,106,15,248,1,,吉川弘文館
輝く泉シリーズ 1巻,933,英米文学・小説,324,Dorothy Carter,1990/5/26,1990/10/30,9,214,165,36,1191,1,1,講談社
風と喜び 3巻,914,日本文学・随筆,266,青木 隆,2011/12/9,2011/12/29,4,188,125,22,484,1,3,中央公論新社
あの霜月の扉,913,日本文学・小説,392,青木 史郎,2002/8/15,2003/8/27,15,216,166,50,1563,1,,ミネルヴァ書房
ぼくらの石 5巻,914,日本文学・随筆,389,井上 一朗,2013/6/29,2013/7/30,10,184,141,30,687,1,5,祥伝社
女王と現代,220,アジア史,356,藤原 次郎,2008/1/5,2008/8/13,3,176,102,32,510,1,,祥伝社
強い知識,850,フランス語,384,三浦 敦,1951/6/5,1952/10/16,3,146,106,28,366,1,,吉川弘文館
泉の伝説 10巻,913,日本文学・小説,512,遠藤 正樹,2004/6/20,2004/9/24,3,187,126,44,913,1,10,丸善
長い夢シリーズ 9巻,913,日本文学・小説,219,山本 典子,2007/10/27,2008/4/22,3,215,157,20,698,3,9,PHP研究所
倫理学入門,150,倫理学,380,西田 由美,2006/12/2,2007/2/2,7,227,139,37,1173,1,,岩波書店
強い太陽シリーズ 8巻,913,日本文学・小説,283,三浦 純,2005/1/11,2005/1/31,3,173,125,25,542,2,8,丸善
美しい花譚,914,日本文学・随筆,248,岩田 和子,2011/2/10,2011/10/5,8,231,148,30,935,1,,光文社
あの残暑の山,914,日本文学・随筆,277,柴田 慎吾,2019/3/25,2020/1/28,12,238,152,29,970,1,,福音館書店
強い東洋思想,120,東洋思想,415,田中 陽,1987/11/13,1988/10/11,14,209,165,42,1464,1,,東京創元社
図書_4798,520,建築学,299,田中 隆,1995/4/26,1995/10/24,9,200,164,31,938,1,,ポプラ社
博士の魂,930,英米文学総記,371,James Wilson,2021/5/27,2021/8/28,10,151,102,26,406,1,,集英社
図書_1544,548,情報工学,263,西田 典子,1978/1/11,1978/3/3,10,226,155,26,864,1,,偕成社
ぼくの時間,916,日本文学・記録・手記,294,島田 正樹,2001/5/19,2001/7/18,9,219,169,28,1022,1,,中央公論新社
風と友情 2巻,933,英米文学・小説,334,Robert Taylor,2015/3/24,2015/7/16,5,152,102,27,406,2,2,早川書房
輝く川,910,日本文学総記,386,林 葵,1967/9/21,1968/3/10,15,185,134,33,722,1,,小学館
奈良の職人,914,日本文学・随筆,312,工藤 美咲,2019/10/26,2021/4/7,13,181,125,23,552,1,,日本評論社
風のかけら,916,日本文学・記録・手記,169,林 典子,2022/6/10,2023/2/4,8,222,148,17,555,1,,翔泳社
The silent light,953,フランス文学・小説,317,Betty Adams,1991/1/4,1991/7/22,5,232,148,28,956,1,,角川書店
老人と扉,913,日本文学・小説,216,加藤 葵,1953/10/21,1954/1/7,4,148,108,17,257,1,,新潮社
長崎の探偵,913,日本文学・小説,231,橋本 慎吾,2021/1/6,2021/3/27,8,218,153,25,767,1,,文藝春秋
図書_3033,410,数学,374,加藤 一朗,2001/7/10,2001/11/11,8,224,163,38,1203,1,,中央公論新社
夢と運命,913,日本文学・小説,316,清水 奈々,2002/7/3,2002/12/23,5,238,152,29,1027,1,,双葉社
A dark heart,933,英米文学・小説,227,James Wilson,2019/11/6,2020/7/27,12,149,106,16,222,1,,ハヤカワ書房
長い扉譚,914,日本文学・随筆,362,福田 慎吾,2016/7/28,2016/11/6,17,151,110,31,468,1,,集英社
細い影譚,913,日本文学・小説,234,林 花子,2003/8/23,2003/12/25,13,148,102,17,233,1,,技術評論社
医者の月,930,英米文学総記,276,Charles Walker,2023/10/16,2024/8/7,6,182,125,21,432,1,,ポプラ社
大きな泉譚,913,日本文学・小説,325,柴田 直子,2015/8/19,2016/12/31,6,216,155,35,1035,1,,有斐閣
図書_4594,410,数学,244,石川 陽,2011/12/19,2013/3/25,10,168,107,24,381,1,,ハヤカワ書房
図書_4431,570,化学工業,342,村上 咲,2022/4/1,2022/4/7,9,259,178,33,1490,1,,新潮社
あの木枯らしの雪,910,日本文学総記,305,池田 莉子,2011/1/16,2011/3/3,13,209,162,36,1075,1,,祥伝社
現代情報学,0,総記,363,大野 葵,2016/4/17,2016/6/26,10,230,163,30,1049,1,,角川書店
道と法律学,320,法律,98,原田 太郎,2009/11/3,2009/11/21,7,151,105,7,126,1,,偕成社
図書_4728,410,数学,341,池田 雄一,2001/2/5,2001/4/4,5,168,105,36,557,1,,PHP研究所
The forgotten star,933,英米文学・小説,358,Karen Young,2017/2/9,2017/8/10,13,181,128,27,612,1,,中央公論新社
図書_2311,340,財政学,269,鈴木 太郎,2009/2/7,2009/2/16,12,186,123,18,367,1,,岩波書店
魔法の声 10巻,913,日本文学・小説,269,島田 純,2008/8/5,2008/10/25,3,144,109,24,342,1,10,有斐閣
雨の伝説 5巻,913,日本文学・小説,339,村上 光,2008/10/2,2008/12/21,5,150,103,26,434,1,5,ポプラ社
図書_4712,40,一般論文集,327,山本 太郎,1996/10/17,1997/6/14,6,224,156,34,1090,1,,早川書房
霧と社会学,360,社会学,344,斎藤 大輔,2021/7/20,2021/10/15,32,230,153,34,1126,1,,講談社
現代工学,500,技術・工学総記,237,平野 史郎,1986/12/5,1987/4/18,6,211,145,25,993,1,,勁草書房
ぼくらの波 3巻,914,日本文学・随筆,318,青木 京子,2005/12/30,2006/5/5,7,227,163,34,1124,3,3,技術評論社
魔法の海 4巻,913,日本文学・小説,316,木村 恵子,2020/12/18,2021/1/30,3,248,152,34,1162,1,4,早川書房
職人と明治,290,地理・地誌,394,工藤 莉子,1955/12/28,1956/5/3,8,248,179,37,1486,1,,幻冬舎
現代地球科学,450,地球科学,242,阿部 三郎,2001/2/19,2001/8/26,19,255,182,28,1233,1,,角川書店
写真家と島,913,日本文学・小説,329,岡田 美咲,2006/8/16,2006/11/29,8,149,99,21,321,1,,早川書房
武士と大正,210,日本史,227,井上 典子,2022/7/24,2022/11/28,38,173,107,21,367,1,,祥伝社
丘王国 4巻,913,日本文学・小説,390,山口 雄一,2004/11/16,2005/4/1,9,182,128,32,720,1,4,勁草書房
ぼくの言葉,913,日本文学・小説,315,大野 誠,2002/7/22,2002/12/28,3,148,100,25,340,1,,弘文堂
深い記憶シリーズ 4巻,914,日本文学・随筆,392,西村 花子,2012/9/10,2012/10/27,3,184,128,38,787,1,4,祥伝社
図書_3386,440,天文学,372,石川 正樹,2016/5/4,2017/3/5,17,255,181,44,1798,1,,有斐閣
A lost light,953,フランス文学・小説,286,Charles Walker,2006/2/19,2006/8/17,7,151,100,23,371,1,,ポプラ社
波と法律学,320,法律,324,遠藤 雄一,2020/9/2,2021/3/21,14,193,136,27,649,1,,小学館
図書_3993,510,土木工学,364,木村 純,2017/6/20,2017/10/17,13,246,182,44,1733,1,,オーム社
京都の霜月,913,日本文学・小説,438,三浦 典子,2012/1/13,2012/7/26,5,183,130,39,845,1,,有斐閣
家政学入門,590,家政学,434,阿部 理恵,1981/4/12,1982/3/19,10,254,181,52,2062,1,,福音館書店
美しい扉シリーズ 1巻,913,日本文学・小説,329,平野 拓哉,2013/1/3,2013/5/5,10,203,156,34,990,3,1,PHP研究所
図書_2801,450,地球科学,249,林 翔,1987/10/11,1987/11/24,12,262,182,28,1270,1,,偕成社
図書_2773,548,情報工学,259,村上 誠,1958/4/19,1958/9/1,5,214,152,27,792,1,,東京創元社
あの夜の草原,913,日本文学・小説,354,藤井 三郎,1988/7/20,1988/9/21,15,181,130,33,704,1,,福音館書店
魔法の火 7巻,913,日本文学・小説,368,柴田 典子,1997/6/7,1997/7/27,3,145,107,31,428,3,7,勁草書房
光と政治学,310,政治学,216,吉田 光,1997/8/21,1997/9/27,8,218,170,21,735,1,,小学館
絵画・美術と社会,720,絵画,394,工藤 裕子,2023/11/23,2023/12/11,10,226,143,46,1461,1,,講談社
丘王国 8巻,913,日本文学・小説,260,山口 雄一,2012/9/26,2012/11/9,6,215,182,24,1057,2,8,勁草書房
草原と知識,790,諸芸・娯楽,281,土屋 正樹,2021/6/23,2021/6/25,7,203,156,29,981,1,,新潮社
月と西洋哲学,130,西洋哲学,380,西村 博,1997/4/14,1997/12/24,11,254,185,54,2245,1,,偕成社
強い政治学,310,政治学,277,阿部 慎吾,1995/11/22,1996/4/5,4,215,141,31,912,1,,ミネルヴァ書房
図書_2593,548,情報工学,283,鈴木 雄一,2022/7/20,2022/8/13,9,264,182,30,1296,1,,偕成社
冷たい心理学,140,心理学,374,三浦 湊,1998/6/18,1999/10/28,5,258,178,42,1757,1,,日本評論社
音楽家と砂,913,日本文学・小説,376,平野 和子,1984/2/25,1984/4/12,16,144,103,35,443,1,,中央公論新社
甘い法律学,320,法律,439,杉山 由美,2020/12/5,2021/10/23,26,151,107,36,590,1,,集英社
夜の太陽,913,日本文学・小説,327,池田 咲,2019/12/14,2020/2/28,41,211,155,35,1065,1,,吉川弘文館
ぼくらの手紙 9巻,913,日本文学・小説,349,今井 京子,2011/10/7,2011/11/21,3,148,100,23,299,1,9,技術評論社
図書_2517,480,動物学,243,三浦 京子,2023/9/28,2024/12/31,7,223,158,30,897,1,,福音館書店
金沢の魔女,910,日本文学総記,391,工藤 正樹,1952/3/6,1952/5/7,15,149,105,41,613,1,,角川書店
輝く花譚,913,日本文学・小説,289,石川 莉子,1972/11/27,1972/12/6,3,152,104,23,343,1,,幻冬舎
山王国 4巻,913,日本文学・小説,274,岩田 由美,2016/3/12,2016/8/1,6,177,127,26,549,1,4,朝倉書店
William's song,983,スカンジナビア文学,282,Thomas Moore,2006/12/22,2007/3/13,11,181,126,23,495,1,,弘文堂
化学工業のしくみ,570,化学工業,273,山田 雄一,1993/10/24,1993/10/26,6,258,179,29,1177,1,,集英社
重い心譚,913,日本文学・小説,460,大野 裕子,2012/2/25,2012/6/3,25,149,103,34,480,1,,日本評論社
細い社会学,360,社会学,386,土屋 純,2017/2/22,2017/6/29,3,177,132,27,567,1,,東京創元社
詳解医学,490,医学,329,鈴木 敦,1974/2/19,1974/4/10,3,165,101,33,480,1,,光文社
川と教育学,370,教育学,169,杉山 典子,2021/10/22,2022/10/1,12,148,105,13,169,1,,技術評論社
図書_2518,430,化学,318,石川 一朗,2015/2/20,2015/12/1,21,177,103,29,626,1,,祥伝社
図書_3801,490,医学,412,西田 翔,1979/3/20,1979/7/13,8,242,153,45,1463,1,,日本評論社
ぼくの波,913,日本文学・小説,382,藤井 美咲,1976/3/2,1976/4/21,11,154,104,34,490,1,,弘文堂
樹王国 5巻,933,英米文学・小説,331,William Anderson,1993/5/17,1993/9/3,3,220,151,35,1038,2,5,岩波書店
ぼくらの雪 2巻,913,日本文学・小説,277,大野 京子,2007/2/25,2007/4/3,26,144,103,25,330,2,2,技術評論社
花と東洋思想,120,東洋思想,286,工藤 光,2013/11/17,2014/1/18,6,167,101,24,403,1,,文藝春秋
島と心理学,140,心理学,339,西村 葵,2017/2/12,2017/10/13,5,160,108,31,503,1,,PHP研究所
魂の向こうに,913,日本文学・小説,404,西田 大輔,2002/10/6,2003/10/28,12,174,133,33,672,1,,祥伝社
樹王国 4巻,933,英米文学・小説,263,William Anderson,1991/6/14,1991/10/5,8,152,108,21,328,1,4,岩波書店
land of Lisbon,953,フランス文学・小説,330,Nancy Wright,2023/4/7,2023/6/11,19,181,128,26,572,1,,日本評論社
大きな太陽シリーズ 2巻,913,日本文学・小説,297,渡辺 雄一,2011/1/13,2011/2/19,6,151,108,24,357,1,2,講談社
作家と昭和,210,日本史,372,林 拓哉,1993/3/10,1994/1/11,5,217,168,46,1496,1,,ハヤカワ書房
音楽家の夢,916,日本文学・記録・手記,342,田中 誠,2012/11/3,2012/12/9,8,179,131,25,548,1,,翔泳社
強い海譚,910,日本文学総記,253,阿部 隆,1955/5/16,1956/5/25,15,150,103,23,393,1,,勁草書房
風王国 4巻,913,日本文学・小説,329,石川 敦,2017/1/7,2017/2/17,7,215,157,34,1127,1,4,双葉社
図書_4549,430,化学,326,土屋 恵子,2023/2/2,2023/6/9,16,242,167,29,1104,1,,福音館書店
ぼくらの花 3巻,933,英米文学・小説,318,Laura Davis,2019/3/2,2019/4/16,10,181,129,28,612,3,3,偕成社
声の向こうに,916,日本文学・記録・手記,316,井上 奈々,2020/6/3,2021/1/11,3,210,148,35,995,1,,偕成社
Ava's fire,933,英米文学・小説,396,Sarah Mitchell,2018/6/23,2018/7/11,8,241,172,43,1713,1,,小学館
night of Vienna,953,フランス文学・小説,284,Daniel Scott,2023/7/10,2024/1/11,17,145,101,20,358,1,,ハヤカワ書房
図書_4629,410,数学,287,高橋 雄一,2014/1/13,2015/6/27,3,179,107,32,531,1,,東京創元社
熊本の夜,913,日本文学・小説,161,清水 蓮,1973/11/5,1973/11/19,3,149,102,13,219,1,,勁草書房
北海道の梅雨,913,日本文学・小説,345,小川 京子,1984/5/19,1984/6/9,10,150,107,28,390,1,,光文社
現代東洋思想,120,東洋思想,161,青木 葵,1988/7/9,1989/1/1,3,254,186,20,983,1,,有斐閣
手紙王国 2巻,933,英米文学・小説,354,Emma Thompson,2016/12/16,2017/4/11,8,154,106,27,459,2,2,講談社
図書_1943,420,物理学,327,鈴木 凛,2020/6/6,2020/12/28,5,254,181,35,1419,1,,勁草書房
詩人と平安,210,日本史,340,渡辺 典子,2015/4/25,2015/11/18,8,201,155,33,1024,1,,勁草書房
孤独な英語学,830,英語,359,中村 莉子,2016/10/7,2018/9/1,13,147,105,25,414,1,,小学館
あの夏の島,913,日本文学・小説,484,坂本 蓮,2004/11/25,2005/3/15,5,155,101,45,654,1,,福音館書店
魔法の太陽 3巻,913,日本文学・小説,290,清水 健一,2012/4/24,2012/6/10,4,218,171,29,973,1,3,日本評論社
沖縄の朝,913,日本文学・小説,338,鈴木 雄一,1970/2/19,1970/8/15,10,147,107,31,444,1,,オーム社
星の伝説 3巻,914,日本文学・随筆,303,平野 奈々,2004/4/3,2004/9/4,3,180,134,24,564,1,3,東京創元社
丘王国 2巻,913,日本文学・小説,239,山口 雄一,2000/11/2,2000/11/25,19,148,113,21,325,2,2,勁草書房
Beyond the fire,933,英米文学・小説,309,Michael Brown,2007/4/13,2007/7/9,15,214,164,34,1093,1,,東京創元社
音楽家と古代,270,オセアニア史,428,杉山 健一,2020/4/5,2020/6/29,11,211,167,47,1507,1,,オーム社
図書_4861,380,民俗学,219,原田 光,2001/11/4,2002/8/29,12,150,106,15,241,1,,朝倉書店
あの睦月の海,913,日本文学・小説,146,吉田 雄一,2015/8/7,2016/4/16,3,234,148,16,585,1,,角川書店
輝く泉シリーズ 9巻,933,英米文学・小説,291,Dorothy Carter,2007/12/7,2008/5/17,3,185,135,22,590,2,9,講談社
storm of Rome,933,英米文学・小説,311,Emma Thompson,2015/9/19,2015/11/9,9,210,163,34,1105,1,,ポプラ社
図書_3687,340,財政学,132,小川 美咲,1954/2/13,1954/12/7,3,148,102,8,108,1,,日本評論社
図書_3372,490,医学,180,藤原 京子,2005/10/14,2005/12/2,6,219,154,16,500,1,,福音館書店
北海道の魔女,916,日本文学・記録・手記,292,原田 三郎,1952/12/9,1953/1/9,9,223,148,29,919,1,,角川書店
仙台の少女,913,日本文学・小説,233,田中 雄一,2011/12/28,2013/6/25,4,185,128,23,525,1,,有斐閣
魔法の嵐 6巻,913,日本文学・小説,204,藤井 正樹,2016/10/1,2016/10/22,3,182,129,18,422,1,6,翔泳社
長い英語学,830,英語,289,藤井 隆,2005/5/19,2005/8/19,17,170,127,31,605,1,,中央公論新社
音楽家と橋,913,日本文学・小説,320,鈴木 三郎,1978/2/17,1978/3/21,31,227,143,37,1114,1,,オーム社
旅人の橋,913,日本文学・小説,218,三浦 颯,2001/4/6,2001/4/11,5,180,130,22,527,1,,小学館
図書_1654,350,統計学,242,島田 莉子,1988/10/22,1988/11/21,3,176,124,24,492,1,,翔泳社
嵐と西洋哲学,130,西洋哲学,323,小川 文子,2023/3/8,2023/9/25,5,176,101,33,575,1,,幻冬舎
札幌を旅する,210,日本史,230,加藤 美咲,2016/7/11,2017/7/23,10,211,146,23,759,1,,弘文堂
太陽の伝説 5巻,914,日本文学・随筆,311,木村 湊,2009/3/5,2009/9/1,3,227,159,31,1362,1,5,双葉社
白い砂シリーズ 6巻,913,日本文学・小説,305,池田 葵,2010/4/24,2010/5/16,4,178,123,27,535,2,6,オーム社
道と音楽,760,音楽,204,菅原 由美,2013/5/20,2013/6/25,21,181,126,21,423,1,,技術評論社
